caldt,vwretd,ewretd
19251231,,
19260130,-0.001783,0.006457
19260227,-0.033296,-0.039979
19260331,-0.057708,-0.067915
19260430,0.038522,0.031441
19260528,0.013623,0.012011
19260630,0.056427,0.052142
19260731,0.040403,0.037547
19260831,0.029822,0.018924
19260930,0.013420,0.014037
19261030,-0.030172,-0.025891
19261130,0.026937,0.036507
19261231,0.026047,0.021203
19270131,-0.002910,-0.003955
19270228,0.045522,0.043428
19270331,0.007324,-0.010052
19270430,0.013021,0.006900
19270531,0.062353,0.064407
19270630,-0.020370,-0.026920
19270730,0.084450,0.067444
19270831,0.033320,0.026115
19270930,0.053016,0.057959
19271031,-0.046804,-0.045279
19271130,0.070546,0.078058
19271231,0.019295,0.019800
19280131,-0.007182,0.011459
19280229,-0.012549,-0.021508
19280331,0.105752,0.075281
19280430,0.034725,0.040016
19280531,0.012325,0.015924
19280630,-0.034330,-0.048573
19280731,0.010117,0.007727
19280831,0.070230,0.067993
19280929,0.022409,0.025717
19281031,0.013839,0.006281
19281130,0.122975,0.129537
19281231,0.006232,0.026322
19290131,0.055473,0.073311
19290228,-0.004874,-0.011241
19290328,0.000154,-0.011448
19290430,0.019559,0.011950
19290531,-0.041281,-0.033982
19290629,0.112294,0.106753
19290731,0.050014,0.050745
19290830,0.094871,0.078359
19290930,-0.050941,-0.030728
19291031,-0.186150,-0.175188
19291127,-0.125359,-0.116976
19291231,0.027753,0.015063
19300131,0.059632,0.065854
19300228,0.026041,0.037402
19300331,0.072348,0.053208
19300430,-0.013938,-0.028758
19300529,-0.011148,-0.015566
19300630,-0.155715,-0.154492
19300731,0.038713,0.035467
19300829,0.011266,0.001968
19300930,-0.123549,-0.129006
19301031,-0.083680,-0.081521
19301129,-0.019736,-0.008595
19301231,-0.071479,-0.092791
19310131,0.059527,0.097629
19310228,0.110943,0.113321
19310331,-0.068939,-0.078704
19310430,-0.092955,-0.128064
19310529,-0.137674,-0.150141
19310630,0.146492,0.190566
19310731,-0.075465,-0.082237
19310831,0.007779,-0.014416
19310930,-0.287461,-0.310002
19311031,0.076738,0.066016
19311130,-0.100909,-0.122950
19311231,-0.137557,-0.189119
19320130,-0.018803,0.071316
19320229,0.053581,0.040919
19320331,-0.118907,-0.163609
19320430,-0.205295,-0.198179
19320531,-0.232123,-0.299485
19320630,0.002768,0.030933
19320730,0.391838,0.551229
19320831,0.401979,0.680415
19320930,-0.029526,-0.065005
19321031,-0.142069,-0.187556
19321130,-0.052228,-0.094929
19321231,0.061569,0.019872
19330131,0.013938,0.056629
19330228,-0.179558,-0.199694
19330331,0.038627,0.083647
19330429,0.414312,0.552452
19330531,0.174816,0.315257
19330630,0.137498,0.202137
19330731,-0.084736,-0.094629
19330831,0.123272,0.129075
19330930,-0.118045,-0.144620
19331031,-0.090623,-0.112923
19331129,0.108553,0.087617
19331230,0.026694,0.028315
19340131,0.115033,0.207739
19340228,-0.032840,-0.026909
19340331,0.005355,0.002126
19340430,-0.025490,-0.008762
19340531,-0.078497,-0.099887
19340630,0.024080,0.027171
19340731,-0.119846,-0.187625
19340831,0.058650,0.098213
19340929,-0.000216,0.004991
19341031,-0.032663,-0.044210
19341130,0.086059,0.089400
19341231,-0.000681,-0.018468
19350131,-0.042368,-0.058033
19350228,-0.036840,-0.068250
19350330,-0.031454,-0.045070
19350430,0.096493,0.098007
19350531,0.038135,0.052127
19350629,0.070533,0.072709
19350731,0.083814,0.092141
19350831,0.026569,0.064230
19350930,0.025526,0.013623
19351031,0.071803,0.077787
19351130,0.051943,0.114276
19351231,0.039887,0.046802
19360131,0.071832,0.113332
19360229,0.022461,0.045963
19360331,0.024029,0.000765
19360430,-0.077588,-0.097464
19360529,0.053106,0.062927
19360630,0.032542,0.019286
19360731,0.073442,0.086786
19360831,0.014124,0.024099
19360930,0.004817,0.016308
19361031,0.076281,0.058556
19361130,0.010666,0.033981
19361231,-0.003830,0.012644
19370130,0.036648,0.050525
19370227,0.018483,0.030579
19370331,-0.003511,0.014876
19370430,-0.080646,-0.087845
19370528,-0.005699,-0.027492
19370630,-0.053803,-0.076650
19370731,0.098991,0.114579
19370831,-0.051183,-0.058171
19370930,-0.139610,-0.174125
19371030,-0.102722,-0.111564
19371130,-0.084289,-0.093808
19371231,-0.045828,-0.093196
19380131,0.012163,0.004605
19380228,0.065757,0.085089
19380331,-0.254106,-0.306927
19380430,0.142667,0.189299
19380531,-0.039973,-0.043337
19380630,0.253519,0.305148
19380730,0.074738,0.090908
19380831,-0.025901,-0.059336
19380930,0.016932,-0.002649
19381031,0.078960,0.150416
19381130,-0.026207,-0.044654
19381231,0.044810,0.064239
19390131,-0.070506,-0.083678
19390228,0.039292,0.053259
19390331,-0.134821,-0.194922
19390429,-0.006611,0.007822
19390531,0.069557,0.084914
19390630,-0.061810,-0.095768
19390731,0.111310,0.151039
19390831,-0.067551,-0.103916
19390930,0.181167,0.374805
19391031,-0.016887,-0.034073
19391130,-0.040532,-0.085514
19391230,0.028177,0.025516
19400131,-0.035927,-0.043765
19400229,0.013139,0.016180
19400330,0.013561,0.009463
19400430,-0.004478,0.007316
19400531,-0.231480,-0.282953
19400629,0.083035,0.127152
19400731,0.033090,0.028449
19400831,0.035421,0.027145
19400930,0.014221,0.012085
19401031,0.041468,0.061607
19401130,-0.029431,-0.044140
19401231,0.002927,-0.013939
19410131,-0.045555,-0.019415
19410228,-0.004729,-0.011068
19410331,0.008872,0.015164
19410430,-0.062152,-0.067709
19410531,0.013184,-0.002943
19410630,0.058851,0.060175
19410731,0.057106,0.127642
19410830,-0.001113,-0.013498
19410930,-0.007351,-0.024632
19411031,-0.064602,-0.078187
19411129,-0.024916,-0.050413
19411231,-0.038843,-0.061795
19420131,0.022276,0.101572
19420228,-0.017647,-0.007279
19420331,-0.064068,-0.074708
19420430,-0.037988,-0.043661
19420529,0.070339,0.038245
19420630,0.023544,0.014064
19420731,0.036031,0.052522
19420831,0.015346,0.012065
19420930,0.032449,0.052096
19421031,0.067867,0.110283
19421130,-0.004392,-0.032668
19421231,0.057537,0.045860
19430130,0.072434,0.129046
19430227,0.058503,0.115254
19430331,0.059404,0.090857
19430430,0.003588,0.049291
19430529,0.052698,0.070962
19430630,0.021689,0.009145
19430731,-0.053092,-0.066325
19430831,0.016232,0.005528
19430930,0.027498,0.036760
19431030,-0.011650,-0.002130
19431130,-0.067052,-0.103342
19431231,0.070305,0.100516
19440131,0.018622,0.042108
19440229,0.006479,0.025817
19440331,0.021313,0.033124
19440429,-0.012427,-0.033197
19440531,0.048841,0.053428
19440630,0.054574,0.077513
19440731,-0.019470,-0.011995
19440831,0.014700,0.025596
19440930,-0.000692,-0.009374
19441031,0.002435,-0.008161
19441130,0.017327,0.012122
19441230,0.044778,0.076757
19450131,0.011901,0.028499
19450228,0.069472,0.096540
19450331,-0.041685,-0.037234
19450430,0.090524,0.116101
19450531,0.020041,0.031300
19450630,0.002380,0.056001
19450731,-0.021539,-0.030841
19450831,0.059852,0.045350
19450929,0.046361,0.073603
19451031,0.030815,0.050408
19451130,0.044950,0.072602
19451231,0.011133,0.009563
19460131,0.069504,0.093162
19460228,-0.065171,-0.071858
19460330,0.049118,0.054365
19460430,0.035748,0.027592
19460531,0.028785,0.043263
19460628,-0.035289,-0.039963
19460731,-0.027350,-0.042521
19460830,-0.068855,-0.075229
19460930,-0.104113,-0.127328
19461031,-0.005636,0.006155
19461130,-0.003801,0.001541
19461231,0.046818,0.046308
19470131,0.022013,0.018443
19470228,-0.008307,-0.007728
19470331,-0.015008,-0.029037
19470430,-0.039560,-0.065362
19470529,-0.000990,-0.018516
19470630,0.053991,0.050607
19470731,0.039572,0.054632
19470829,-0.023076,-0.023745
19470930,-0.009928,-0.001423
19471031,0.020578,0.011543
19471129,-0.017633,-0.038862
19471231,0.030784,0.040836
19480131,-0.037743,-0.017680
19480228,-0.040232,-0.047395
19480331,0.081440,0.100368
19480430,0.030821,0.034635
19480528,0.084014,0.077794
19480630,0.007665,0.010301
19480730,-0.052296,-0.048966
19480831,0.015539,0.017540
19480930,-0.027016,-0.036962
19481030,0.070041,0.059347
19481130,-0.098332,-0.109582
19481231,0.035952,0.028019
19490131,0.002676,0.014855
19490228,-0.031639,-0.028418
19490331,0.033981,0.042145
19490430,-0.018691,-0.028888
19490531,-0.029423,-0.026519
19490630,0.001744,-0.006710
19490729,0.062732,0.056199
19490831,0.021800,0.023593
19490930,0.027415,0.034209
19491031,0.029780,0.018565
19491130,0.020738,0.018941
19491231,0.050984,0.068272
19500131,0.019703,0.033964
19500228,0.019603,0.018479
19500331,0.008185,0.004111
19500429,0.045887,0.035929
19500531,0.046902,0.025339
19500630,-0.054224,-0.072075
19500731,0.016981,0.049028
19500831,0.048063,0.034931
19500929,0.059466,0.064843
19501031,0.005084,-0.007084
19501130,0.022430,0.028721
19501230,0.055425,0.079679
19510131,0.065105,0.072271
19510228,0.014546,0.009446
19510331,-0.017484,-0.024806
19510430,0.049108,0.031718
19510531,-0.029979,-0.022844
19510629,-0.025848,-0.041803
19510731,0.070935,0.077191
19510831,0.050220,0.035093
19510928,0.002868,0.018520
19511031,-0.013321,-0.023051
19511130,0.011388,0.014761
19511231,0.041815,0.027918
19520131,0.017768,0.020778
19520229,-0.025241,-0.016045
19520331,0.052805,0.045030
19520430,-0.041423,-0.035340
19520529,0.033698,0.028118
19520630,0.047832,0.039012
19520731,0.019129,0.018871
19520829,-0.005674,-0.004182
19520930,-0.018085,-0.018359
19521031,0.000320,-0.011536
19521128,0.061382,0.076125
19521231,0.038215,0.035868
19530130,-0.006207,0.006762
19530227,-0.007540,-0.006503
19530331,-0.022288,-0.016475
19530430,-0.025308,-0.024339
19530529,0.007401,0.009466
19530630,-0.014266,-0.018330
19530731,0.026314,0.023165
19530831,-0.050101,-0.055387
19530930,0.002187,-0.006662
19531030,0.051046,0.042035
19531130,0.023763,0.026921
19531231,0.001713,-0.010892
19540129,0.053486,0.060393
19540226,0.012916,0.009183
19540331,0.030530,0.024439
19540430,0.048358,0.018966
19540528,0.042777,0.044412
19540630,0.002467,0.013743
19540730,0.058701,0.059918
19540831,-0.025894,-0.026370
19540930,0.082500,0.045818
19541029,-0.017867,-0.009137
19541130,0.095774,0.107042
19541231,0.054288,0.075205
19550131,0.018076,0.008848
19550228,0.013526,0.032885
19550331,-0.002242,-0.003973
19550429,0.039843,0.036513
19550531,0.006433,0.012066
19550630,0.081300,0.040231
19550729,0.057646,0.007444
19550831,-0.000648,0.004282
19550930,0.011286,-0.019940
19551031,-0.030468,-0.029509
19551130,0.087825,0.069658
19551230,-0.000309,0.007020
19560131,-0.035057,-0.029282
19560229,0.041397,0.035648
19560329,0.070328,0.057738
19560430,-0.000637,-0.006672
19560531,-0.058414,-0.045339
19560629,0.038910,0.025100
19560731,0.051427,0.039614
19560831,-0.032788,-0.031743
19560928,-0.044022,-0.043159
19561031,0.006619,0.004706
19561130,-0.001921,-0.002676
19561231,0.036284,0.026143
19570131,-0.040238,-0.007459
19570228,-0.024919,-0.027027
19570329,0.023827,0.021729
19570430,0.046538,0.028393
19570531,0.038734,0.023925
19570628,-0.000705,-0.007865
19570731,0.009747,0.002362
19570830,-0.048998,-0.051084
19570930,-0.057879,-0.049284
19571031,-0.038834,-0.055624
19571129,0.023703,0.023873
19571231,-0.037422,-0.048022
19580131,0.045518,0.099789
19580228,-0.014109,-0.011325
19580331,0.033052,0.039061
19580430,0.033511,0.033179
19580529,0.021313,0.034512
19580630,0.027998,0.026758
19580731,0.043960,0.056779
19580829,0.017999,0.028990
19580930,0.050837,0.053745
19581031,0.027370,0.028065
19581128,0.028617,0.039041
19581231,0.054112,0.039755
19590130,0.006331,0.033378
19590227,0.006711,0.024427
19590331,0.003352,0.005580
19590430,0.040054,0.028593
19590529,0.023631,0.012160
19590630,-0.000725,0.006939
19590731,0.034504,0.028023
19590831,-0.011076,-0.014613
19590930,-0.043182,-0.040954
19591030,0.012574,0.013011
19591130,0.018486,0.015520
19591231,0.029627,0.017537
19600129,-0.069933,-0.049087
19600229,0.013922,0.007490
19600331,-0.012566,-0.025784
19600429,-0.016113,-0.015902
19600531,0.033513,0.025842
19600630,0.021802,0.020119
19600729,-0.022948,-0.018612
19600831,0.031467,0.034033
19600930,-0.058713,-0.060560
19601031,-0.001079,-0.011490
19601130,0.046081,0.047319
19601230,0.048839,0.039062
19610131,0.064320,0.078330
19610228,0.032838,0.056078
19610330,0.029345,0.035927
19610428,0.004537,0.000684
19610531,0.023553,0.043181
19610630,-0.026673,-0.036306
19610731,0.033795,0.017996
19610831,0.024730,0.027919
19610929,-0.018674,-0.025485
19611031,0.028175,0.022914
19611130,0.045226,0.041196
19611229,0.004696,-0.001532
19620131,-0.037356,-0.012560
19620228,0.020592,0.014284
19620330,-0.003842,-0.008335
19620430,-0.061743,-0.067393
19620531,-0.079847,-0.089426
19620629,-0.080669,-0.081229
19620731,0.065203,0.057917
19620831,0.021669,0.021886
19620928,-0.048816,-0.058491
19621031,0.008313,-0.008516
19621130,0.108268,0.132839
19621231,0.015534,-0.003741
19630131,0.050367,0.073533
19630228,-0.024189,-0.013529
19630329,0.036581,0.024483
19630430,0.049070,0.045601
19630531,0.019674,0.032577
19630628,-0.018605,-0.015077
19630731,-0.001821,-0.011361
19630830,0.053466,0.057987
19630930,-0.010402,-0.019518
19631031,0.034825,0.026247
19631129,-0.004487,-0.004267
19631231,0.026065,0.017259
19640131,0.027391,0.019843
19640228,0.017015,0.028215
19640331,0.017232,0.032726
19640430,0.006192,0.002203
19640528,0.016815,0.018079
19640630,0.018084,0.020368
19640731,0.018910,0.024316
19640831,-0.011621,-0.008929
19640930,0.030399,0.034314
19641030,0.008745,0.016293
19641130,0.001598,-0.000224
19641231,0.005228,-0.008076
19650129,0.034791,0.056642
19650226,0.003746,0.025174
19650331,-0.012213,0.001846
19650430,0.035612,0.031638
19650528,-0.003122,-0.006473
19650630,-0.046880,-0.067641
19650730,0.014486,0.024595
19650831,0.027560,0.042121
19650930,0.033366,0.030380
19651029,0.028812,0.039076
19651130,-0.003821,0.020357
19651231,0.010349,0.028025
19660131,0.005705,0.034103
19660228,-0.012750,0.003274
19660331,-0.023041,-0.023868
19660429,0.022158,0.025064
19660531,-0.049140,-0.067310
19660630,-0.014380,-0.010593
19660729,-0.012129,-0.012030
19660831,-0.071650,-0.086739
19660930,-0.006244,-0.013219
19661031,0.048333,0.025877
19661130,0.011223,0.029148
19661230,0.000326,0.012243
19670131,0.079215,0.123985
19670228,0.007514,0.009006
19670331,0.041137,0.050558
19670428,0.043371,0.037676
19670531,-0.046810,-0.028494
19670630,0.019319,0.036536
19670731,0.046454,0.067561
19670831,-0.006824,0.004667
19670929,0.033815,0.026207
19671031,-0.027448,-0.049521
19671130,0.006435,-0.000446
19671229,0.027079,0.045376
19680131,-0.041875,-0.012453
19680229,-0.026900,-0.030877
19680329,0.009696,0.003825
19680430,0.084092,0.102252
19680531,0.016374,0.042876
19680628,0.009916,0.020069
19680730,-0.017444,-0.026167
19680830,0.016415,0.025886
19680930,0.039351,0.054931
19681031,0.008587,0.013221
19681129,0.053580,0.068079
19681231,-0.040826,-0.024460
19690131,-0.007547,-0.004498
19690228,-0.042321,-0.063398
19690328,0.034847,0.021137
19690430,0.022771,0.011765
19690529,0.003854,-0.005287
19690630,-0.054357,-0.082492
19690731,-0.058632,-0.069726
19690829,0.045728,0.044136
19690930,-0.023941,-0.018318
19691031,0.046900,0.064115
19691128,-0.029152,-0.043121
19691231,-0.016922,-0.039930
19700130,-0.075398,-0.058388
19700227,0.059521,0.068592
19700331,0.002806,0.003637
19700430,-0.088831,-0.108801
19700529,-0.054689,-0.082317
19700630,-0.049032,-0.058854
19700731,0.075523,0.081903
19700831,0.049778,0.062742
19700930,0.034702,0.065250
19701030,-0.009032,-0.032163
19701130,0.054387,0.046937
19701231,0.058684,0.084505
19710129,0.042828,0.083935
19710226,0.013317,0.021101
19710331,0.039068,0.039888
19710430,0.036965,0.041374
19710528,-0.037150,-0.041095
